Starting
Starting
Creating Images
Images created
initial homography: 1 0 0 0 1 0 0 0 1 

ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
.
ncc: 0.000882154
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 8.12691e-05
ncc: 0.000420321
ncc: 0.00070651
ncc: 0.000918722
ncc: 0.000932194
ncc: 0.000840092
ncc: 0.000758336
ncc: 0.000702854
ncc: 0.000603951
ncc: 0.000501769
ncc: 0.000408706
ncc: 0.000327308
ncc: 0.00025306
ncc: 0.000186159
ncc: 0.000126706
ncc: 7.2327e-05
ncc: 3.05196e-05
ncc: 6.34638e-06
ncc: 6.96866e-08
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0.000801468
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 5.92592e-07
ncc: 7.58615e-06
ncc: 2.43972e-05
ncc: 5.48703e-05
ncc: 0.000102454
ncc: 0.000174212
ncc: 0.000272301
ncc: 0.000382769
ncc: 0.000495988
ncc: 0.00060073
ncc: 0.00069036
ncc: 0.000751158
ncc: 0.000765759
ncc: 0.000764201
ncc: 0.000761963
ncc: 0.000725994
ncc: 0.000623298
ncc: 0.000505379
ncc: 0.000380711
ncc: 0.000249222
ncc: 0.000121904
ncc: 4.44445e-05
ncc: 1.1848e-05
ncc: 1.47475e-06
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0.000732752
ncc: 0.000611385
ncc: 0.000617856
ncc: 0.000624311
ncc: 0.00063074
ncc: 0.000637138
ncc: 0.000643506
ncc: 0.000649843
ncc: 0.000656149
ncc: 0.00066241
ncc: 0.000668634
ncc: 0.000671352
ncc: 0.000674077
ncc: 0.000676805
ncc: 0.000679529
ncc: 0.000682242
ncc: 0.000684942
ncc: 0.000687631
ncc: 0.000690303
ncc: 0.000692951
ncc: 0.000695578
ncc: 0.000695122
ncc: 0.000694689
ncc: 0.000694269
ncc: 0.000693861
ncc: 0.000693452
ncc: 0.000693041
ncc: 0.000692634
ncc: 0.000692221
ncc: 0.000691797
ncc: 0.000691364
ncc: 0.000690072
ncc: 0.000688807
ncc: 0.000687555
ncc: 0.000686319
ncc: 0.000685085
ncc: 0.000683851
ncc: 0.000682626
ncc: 0.000681395
ncc: 0.00068016
ncc: 0.000678917
ncc: 0.000677677
ncc: 0.000676461
ncc: 0.000675258
ncc: 0.000674071
ncc: 0.000672884
ncc: 0.000671701
ncc: 0.00067052
ncc: 0.000669337
ncc: 0.000668148
ncc: 0.000666954
ncc: 0.000665769
ncc: 0.000664607
ncc: 0.000663458
ncc: 0.000662324
ncc: 0.00066119
ncc: 0.000660059
ncc: 0.00065893
ncc: 0.000657799
ncc: 0.000656663
ncc: 0.000655521
ncc: 0.00065406
ncc: 0.000652622
ncc: 0.000651197
ncc: 0.000649787
ncc: 0.000648379
ncc: 0.000646973
ncc: 0.000645572
ncc: 0.000644168
ncc: 0.000642762
ncc: 0.00064135
ncc: 0.000634762
ncc: 0.000628214
ncc: 0.000621698
ncc: 0.000615218
ncc: 0.000608761
ncc: 0.00060233
ncc: 0.000595928
ncc: 0.000589547
ncc: 0.00058319
ncc: 0.000576854
ncc: 0.000568687
ncc: 0.000560566
ncc: 0.000552482
ncc: 0.000544438
ncc: 0.000536423
ncc: 0.000528438
ncc: 0.000520486
ncc: 0.000512563
ncc: 0.000504668
ncc: 0.000496798
ncc: 0.000488758
ncc: 0.000480757
ncc: 0.000472788
ncc: 0.000464852
ncc: 0.000456941
ncc: 0.000449054
ncc: 0.000441195
ncc: 0.000433362
ncc: 0.000425551
ncc: 0.000617584
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 1.7066e-07
ncc: 1.72036e-06
ncc: 7.70506e-06
ncc: 2.0565e-05
ncc: 4.23069e-05
ncc: 7.4875e-05
ncc: 0.000119893
ncc: 0.000182854
ncc: 0.000263028
ncc: 0.000354971
ncc: 0.000454508
ncc: 0.000558111
ncc: 0.000655653
ncc: 0.000735226
ncc: 0.000775164
ncc: 0.000754131
ncc: 0.000685165
ncc: 0.000591284
ncc: 0.000486825
ncc: 0.000372467
ncc: 0.000246541
ncc: 0.0001101
ncc: 2.26985e-05
ncc: 1.27582e-06
ncc: 1.12709e-07
ncc: 2.25337e-08
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0.000573157
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 0
ncc: 1.74783e-06
ncc: 0.000190015
ncc: 0.000487622
ncc: 0.000699247
ncc: 0.00085285
ncc: 0.000938256
ncc: 0.000829185
ncc: 0.000672905
ncc: 0.000551567
ncc: 0.000447793
ncc: 0.000356738
ncc: 0.000280887
ncc: 0.000213776
ncc: 0.000159131
ncc: 0.000107986
ncc: 5.88484e-05
ncc: 2.18669e-05
ncc: 3.58737e-06
ncc: 3.56705e-08
ncc: 0
ncc: 0
ncc: 0
